Date,code,Open,High,Low,Close,Volume
2022-07-15,7177,774.0,775.0,768.0,772.0,100700
2022-07-14,7177,773.0,778.0,769.0,778.0,91000
2022-07-13,7177,772.0,777.0,771.0,774.0,37200
2022-07-12,7177,776.0,780.0,769.0,771.0,109300
2022-07-11,7177,782.0,783.0,777.0,778.0,119100
2022-07-08,7177,774.0,783.0,772.0,781.0,196100
2022-07-07,7177,774.0,779.0,772.0,777.0,111000
2022-07-06,7177,776.0,778.0,772.0,777.0,73500
2022-07-05,7177,769.0,776.0,769.0,776.0,75400
2022-07-04,7177,765.0,771.0,765.0,769.0,106600
2022-07-01,7177,772.0,773.0,764.0,764.0,155900
2022-06-30,7177,776.0,778.0,771.0,777.0,106300
2022-06-29,7177,778.0,779.0,764.0,777.0,464800
2022-06-28,7177,790.0,795.0,785.0,791.0,388100
2022-06-27,7177,798.0,801.0,789.0,796.0,238300
2022-06-24,7177,787.0,796.0,780.0,796.0,245100
2022-06-23,7177,776.0,784.0,774.0,784.0,182400
2022-06-22,7177,774.0,776.0,769.0,770.0,142000
2022-06-21,7177,768.0,771.0,764.0,768.0,182700
2022-06-20,7177,777.0,781.0,761.0,764.0,201100
2022-06-17,7177,773.0,780.0,770.0,777.0,250400
2022-06-16,7177,779.0,787.0,778.0,781.0,158300
2022-06-15,7177,784.0,785.0,775.0,781.0,109400
2022-06-14,7177,770.0,777.0,769.0,775.0,149600
2022-06-13,7177,783.0,785.0,778.0,782.0,178900
2022-06-10,7177,791.0,792.0,786.0,792.0,132200
2022-06-09,7177,798.0,798.0,790.0,791.0,127600
2022-06-08,7177,797.0,797.0,793.0,794.0,122000
2022-06-07,7177,795.0,797.0,794.0,794.0,72700
2022-06-06,7177,796.0,797.0,791.0,796.0,124700
2022-06-03,7177,800.0,801.0,792.0,796.0,299400
2022-06-02,7177,790.0,799.0,788.0,797.0,231300
2022-06-01,7177,785.0,792.0,778.0,789.0,226700
2022-05-31,7177,790.0,791.0,777.0,777.0,379300
2022-05-30,7177,783.0,791.0,780.0,791.0,215700
2022-05-27,7177,770.0,780.0,770.0,775.0,292900
2022-05-26,7177,755.0,766.0,755.0,759.0,140600
2022-05-25,7177,755.0,762.0,754.0,762.0,122900
2022-05-24,7177,771.0,772.0,758.0,758.0,192500
2022-05-23,7177,761.0,768.0,759.0,765.0,153400
2022-05-20,7177,747.0,758.0,742.0,754.0,348700
2022-05-19,7177,756.0,758.0,746.0,749.0,367500
2022-05-18,7177,768.0,772.0,760.0,764.0,228000
2022-05-17,7177,765.0,772.0,760.0,768.0,284700
2022-05-16,7177,781.0,782.0,762.0,765.0,344300
2022-05-13,7177,771.0,784.0,769.0,782.0,242700
2022-05-12,7177,784.0,787.0,773.0,774.0,344600
2022-05-11,7177,793.0,797.0,786.0,786.0,163400
2022-05-10,7177,793.0,797.0,787.0,795.0,212700
2022-05-09,7177,804.0,806.0,795.0,799.0,206500
2022-05-06,7177,810.0,811.0,800.0,804.0,200500
2022-05-02,7177,804.0,812.0,801.0,804.0,214000
2022-04-28,7177,807.0,811.0,799.0,808.0,182000
2022-04-27,7177,800.0,808.0,798.0,808.0,146000
2022-04-26,7177,812.0,812.0,802.0,808.0,93400
2022-04-25,7177,810.0,811.0,803.0,807.0,217900
2022-04-22,7177,823.0,823.0,814.0,816.0,188000
2022-04-21,7177,832.0,832.0,824.0,828.0,96500
2022-04-20,7177,832.0,834.0,826.0,827.0,181400
2022-04-19,7177,822.0,831.0,821.0,829.0,160300
2022-04-18,7177,822.0,826.0,816.0,817.0,118400
2022-04-15,7177,824.0,831.0,823.0,827.0,88500
2022-04-14,7177,825.0,829.0,823.0,829.0,118800
2022-04-13,7177,827.0,827.0,822.0,823.0,116200
2022-04-12,7177,820.0,829.0,820.0,823.0,130400
2022-04-11,7177,834.0,837.0,824.0,831.0,151800
2022-04-08,7177,823.0,832.0,822.0,832.0,162000
2022-04-07,7177,825.0,831.0,821.0,821.0,143000
2022-04-06,7177,835.0,843.0,833.0,838.0,193500
2022-04-05,7177,848.0,850.0,837.0,846.0,296800
2022-04-04,7177,832.0,847.0,827.0,846.0,442800
2022-04-01,7177,821.0,826.0,814.0,822.0,144700
2022-03-31,7177,830.0,832.0,820.0,823.0,198500
2022-03-30,7177,830.0,837.0,823.0,837.0,284500
2022-03-29,7177,821.0,841.0,819.0,841.0,407700
2022-03-28,7177,819.0,821.0,815.0,818.0,138100
2022-03-25,7177,820.0,821.0,814.0,815.0,187700
2022-03-24,7177,811.0,818.0,808.0,817.0,183800
2022-03-23,7177,813.0,820.0,809.0,820.0,281300
2022-03-22,7177,806.0,813.0,805.0,808.0,297800
2022-03-18,7177,804.0,809.0,802.0,807.0,181300
2022-03-17,7177,815.0,815.0,804.0,807.0,175800
2022-03-16,7177,804.0,810.0,801.0,803.0,101200
2022-03-15,7177,803.0,805.0,799.0,803.0,80400
2022-03-14,7177,801.0,808.0,799.0,800.0,133200
2022-03-11,7177,793.0,806.0,793.0,806.0,145700
2022-03-10,7177,798.0,804.0,794.0,804.0,215900
2022-03-09,7177,778.0,792.0,778.0,784.0,192600
2022-03-08,7177,785.0,795.0,777.0,778.0,313400
2022-03-07,7177,794.0,797.0,785.0,791.0,261700
2022-03-04,7177,810.0,814.0,797.0,800.0,305500
2022-03-03,7177,806.0,817.0,806.0,813.0,162000
2022-03-02,7177,809.0,810.0,801.0,805.0,151500
2022-03-01,7177,819.0,821.0,812.0,812.0,246800
2022-02-28,7177,800.0,813.0,799.0,813.0,209200
2022-02-25,7177,792.0,802.0,792.0,802.0,208000
2022-02-24,7177,795.0,804.0,784.0,788.0,417200
2022-02-22,7177,793.0,803.0,790.0,802.0,198500
2022-02-21,7177,802.0,804.0,794.0,800.0,237900
2022-02-18,7177,803.0,812.0,800.0,809.0,206400
2022-02-17,7177,816.0,821.0,808.0,811.0,285800
2022-02-16,7177,805.0,816.0,804.0,816.0,356300
2022-02-15,7177,815.0,818.0,798.0,800.0,574000
2022-02-14,7177,825.0,826.0,810.0,817.0,415700
2022-02-10,7177,832.0,835.0,826.0,830.0,248100
